Acronym,Paper’s author(s),"Date, Journal",Definition of the characteristic-based anomaly variable
pchcapx_ia,Abarbanell & Bushee,"1998, TAR",2-digit SIC - fiscal-year mean adjusted percent change in capital expenditures (capx).
pchcurrat,Ou & Penman,"1989, JAE",Percent change in currat.
pchdepr,Holthausen & Larcker,"1992, JAE",Percent change in depr.
pchgm_pchsale,Abarbanell & Bushee,"1998, TAR",Percent change in gross margin (sale-cogs) minus percent change in sales (sale).
pchquick,Ou & Penman,"1989, JAE",Percent change in quick.
pchsale_pchinvt,Abarbanell & Bushee,"1998, TAR",Annual percent change in sales (sale) minus annual percent change in inventory (invt).
pchsale_pchrect,Abarbanell & Bushee,"1998, TAR",Annual percent change in sales (sale) minus annual percent change in receivables (rect).
pchsale_pchxsga,Abarbanell & Bushee,"1998, TAR",Annual percent change in sales (sale) minus annual percent change in SG&A (xsga).
pchsaleinv,Ou & Penman,"1989, JAE",Percent change in saleinv.
pctacc,"Hafzalla, Lundholm & Van Winkle","2011, TAR",Same as acc except that the numerator is divided by the absolute value of ib; if ib = 0 then ib set to 0.01 for denominator.
pricedelay,Hou & Moskowitz,"2005, RFS",The proportion of variation in weekly returns for 36 months ending in month t explained by 4 lags of weekly market returns incremental to contemporaneous market return.
ps,Piotroski,"2000, JAR",Sum of 9 indicator variables to form fundamental health score.
quick,Ou & Penman,"1989, JAE",(current assets - inventory) / current liabilities.
rd,"Eberhart, Maxwell & Siddique","2004, JF",An indicator variable equal to 1 if R&D expense as a percentage of total assets has an increase greater than 5%.
rd_mve,"Guo, Lev & Shi","2006, JBFA",R&D expense divided by end-of-fiscal-year market capitalization.
rd_sale,"Guo, Lev & Shi","2006, JBFA",R&D expense divided by sales (xrd/sale).
realestate,Tuzel,"2010, RFS",Buildings and capitalized leases divided by gross PP&E.
retvol,"Ang, Hodrick, Xing & Zhang","2006, JF",Standard deviation of daily returns from month t-1.
roaq,"Balakrishnan, Bartov & Faurel","2010, JAE",Income before extraordinary items (ibq) divided by one quarter lagged total assets (atq).
roavol,"Francis, LaFond, Olsson & Schipper","2004, TAR",Standard deviaiton for 16 quarters of income before extraordinary items (ibq) divided by average total assets (atq).
roeq,"Hou, Xue & Zhang","2014, RFS",Earnings before extraordinary items divided by lagged common shareholders' equity.
roic,Brown & Rowe,"2007, WP",Annual earnings before interest and taxes (ebit) minus non-operating income (nopi) divided by non-cash enterprise value (ceq+lt-che).
rsup,Kama,"2009, JBFA",Sales from quarter t minus sales from quarter t-4 (saleq) divided by fiscal-quarter-end market capitalization (cshoq * prccq).
salecash,Ou & Penman,"1989, JAE",Annual sales divided by cash and cash equivalents.
saleinv,Ou & Penman,"1989, JAE",Annual sales divided by total inventory.
salerec,Ou & Penman,"1989, JAE",Annual sales divided by accounts receivable.
secured ,Valta,"2016, JFQA",Total liability scaled secured debt.
securedind,Valta,"2016, JFQA",An indicator equal to 1 if company has secured debt obligations.
sfe,"Elgers, Lo & Pfeiffer","2001, TAR",Analysts mean annual earnings forecast for nearest upcoming fiscal year from most recent month available prior to month of portfolio formation from I/B/E/S summary files scaled by price per share at fiscal quarter end.
sgr,"Lakonishok, Shleifer & Vishny","1994, JF",Annual percent change in sales (sale).
sin,Hong & Kacperczyk,"2009, JFE","An indicator variable equal to 1 if a company's primary industry classification is in smoke or tobacco, beer or alcohol, or gaming."
SP,"Barbee, Mukherji, & Raines","1996, FAJ",Annual revenue (sale) divided by fiscal-year-end market capitalization.
std_dolvol,"Chordia, Subrahmanyam & Anshuman","2001, JFE",Monthly standard deviation of daily dollar trading volume.
std_turn,"Chordia, Subrahmanyam, &Anshuman","2001, JFE",Monthly standard deviation of daily share turnover.
stdacc,"Bandyopadhyay, Huang & Wirjanto","2010, WP","Standard deviation for 16 quarters of accruals (acc measured with quarterly Compustat) scaled by sales; if saleq = 0, then scale by 0.01."
stdcf,Huang,"2009, JEF","Standard deviation for 16 quarters of cash flows divided by sales (saleq); if saleq = 0, then scale by 0.01. Cash flows defined as ibq minus quarterly accruals."
sue,"Rendelman, Jones & Latane","1982, JFE","Unexpected quarterly earnings divided by fiscal-quarter-end market cap.  Unexpected earnings is I/B/E/S actual earnings minus median forecasted earnings if available, else it is the seasonally differenced quarterly earnings before extraordinary items from Compustat quarterly file."
tang,Almeida & Campello,"2007, RFS",Cash holdings + 0.715 × receivables + 0.547 × inventory + 0.535 × PPE/
,,,total assets.
tb,Lev & Nissim,"2004, TAR","Tax income, calculated from current tax expense divided by maximum federal tax rate, divided by income before extraordinary items."
turn,"Datar, Naik & Radcliffe","1998, JFM",Average monthly trading volume for most recent 3 months scaled by number of shares outstanding in current month.
zerotrade,Liu,"2006, JFE",Turnover weighted number of zero trading days for most recent 1 month.
